['41.289142#2.070209#0', '41.296380#2.076897#0'] 
['41.289142#2.070209#1', '41.296380#2.076897#1'] 
['41.290963#2.079427#0', '41.289792#2.075041#0'] 
['41.283214#1.966797#1', '41.280500#1.977295#1'] 
['41.425313#2.189808#1', '41.426266#2.184401#1'] 
['41.360914#2.159993#1', '41.370687#2.152113#1'] 
['41.305499#2.006952#0', '41.392924#2.136459#0'] 
['41.377343#2.119615#0', '41.381168#2.123673#0'] 
['41.374918#2.134532#0', '41.378436#2.138786#0'] 
['41.372326#2.138134#0', '41.370687#2.152113#0'] 
['41.420215#2.188821#0', '41.397272#2.191283#0', '41.397272#2.191283#1'] 
['41.391601#2.166231#0', '41.414950#2.168164#1'] 
['41.609209#2.289450#1', '41.606667#2.287517#1'] 
['41.404290#2.215566#1', '41.410385#2.217338#1'] 
['41.387111#2.190374#1', '41.388302#2.186478#1'] 
['41.387111#2.190374#1', '41.389480#2.179754#1'] 
['41.302757#2.075890#0', '41.296380#2.076897#0'] 
['41.377343#2.119615#1', '41.381168#2.123673#1'] 
['41.378436#2.138786#0', '41.380581#2.133020#1'] 
['41.380581#2.133020#1', '41.378436#2.138786#1'] 
['41.401050#2.178853#0', '41.381168#2.123673#1'] 
['41.401050#2.178853#0', '41.403287#2.174304#0'] 
['41.368906#2.147540#1', '41.370687#2.152113#1'] 
['41.328459#2.112949#1', '41.378258#2.176703#1'] 
['41.328459#2.112949#1', '41.383415#2.183213#1'] 
['41.404290#2.215566#0', '41.410385#2.217338#0'] 
['41.404290#2.215566#0', '41.399628#2.212317#0'] 
['41.611162#2.344156#0', '41.386905#2.169752#0'] 
['41.394602#2.180929#1', '41.389480#2.179754#1'] 
['41.399870#2.184935#1', '41.403287#2.174304#1'] 
['41.394289#2.206097#0', '41.401607#2.201278#0'] 
['41.394289#2.206097#0', '41.403287#2.174304#0'] 
['41.394289#2.206097#1', '41.388611#2.200665#1'] 
['41.405696#2.168845#1', '41.403287#2.174304#1'] 
