['51.531223#0.094411#0', '51.507643#-0.127659#0'] 
['51.618817#-0.049946#0', '51.636616#0.060905#1'] 
['51.580814#0.017758#0', '51.584099#0.016213#1'] 
['51.402794#-0.334306#0', '51.404016#-0.339292#0'] 
['51.527625#-0.047292#0', '51.488857#0.007076#1'] 
['51.592119#-0.211027#0', '51.583214#-0.200239#0'] 
['51.580814#0.017758#1', '51.584099#0.016213#1'] 
['51.349057#-0.462456#0', '51.367998#-0.445221#0'] 
['51.379707#-0.412028#0', '51.401870#-0.303889#0'] 
['51.475887#-0.297760#1', '51.479261#-0.292663#1'] 
['51.376142#0.075199#0', '51.377337#0.077331#0'] 
['51.576916#0.035599#0', '51.626626#0.036424#1'] 
['51.576916#0.035599#0', '51.626626#0.036424#0'] 
['51.401870#-0.303889#0', '51.379707#-0.412028#1'] 
['51.463975#-0.183644#0', '51.450722#-0.160845#1'] 
['51.475887#-0.297760#0', '51.479261#-0.292663#0'] 
['51.375317#-0.296203#1', '51.375423#-0.288306#1'] 
['51.483223#-0.294986#0', '51.479261#-0.292663#0'] 
['51.534788#-0.317376#0', '51.518375#-0.300431#0', '51.518375#-0.300431#1'] 
['51.514693#-0.150907#0', '51.618587#-0.439860#1'] 
['51.514405#-0.152683#0', '51.618587#-0.439860#1'] 
['51.507338#0.029607#0', '51.508236#0.028039#0'] 
['51.403194#-0.337349#0', '51.404016#-0.339292#0'] 
['51.474974#-0.159277#0', '51.475860#-0.153153#0'] 
['51.541717#-0.041288#0', '51.531820#-0.056712#0'] 
['51.485465#-0.153964#0', '51.486409#-0.156573#0', '51.486397#-0.155040#0'] 
['51.482883#-0.293385#1', '51.479261#-0.292663#1'] 
['51.483223#-0.294986#1', '51.479261#-0.292663#1'] 
['51.543132#-0.161596#0', '51.540811#-0.157988#0'] 
['51.386713#-0.316592#1', '51.389223#-0.309963#1'] 
['51.550882#-0.189296#0', '51.555770#-0.171293#0'] 
['51.481341#-0.191317#0', '51.426757#-0.189382#1'] 
['51.485465#-0.153964#1', '51.486397#-0.155040#1'] 
['51.481432#-0.289812#1', '51.479261#-0.292663#1'] 
['51.481432#-0.289812#0', '51.479261#-0.292663#0'] 
['51.484613#-0.208117#0', '51.461491#-0.197150#1'] 
['51.502850#0.001851#1', '51.502431#0.004180#1'] 
['51.439819#-0.184590#0', '51.453700#-0.192754#1'] 
['51.506064#-0.155677#0', '51.507734#-0.158052#0'] 
['51.508099#0.032111#0', '51.508236#0.028039#0'] 
['51.481008#-0.004896#1', '51.478724#-0.001899#1'] 
['51.468142#-0.211718#0', '51.468738#-0.209538#0'] 
['51.569942#-0.104060#1', '51.568004#-0.102727#1'] 
['51.470720#-0.082933#0', '51.473611#-0.080724#0'] 
['51.450981#-0.104383#1', '51.450915#-0.106710#1'] 
['51.519263#-0.044306#0', '51.517059#-0.050179#0'] 
['51.569321#-0.100411#1', '51.568004#-0.102727#1'] 
['51.553938#-0.056632#1', '51.552684#-0.057641#1'] 
['51.470720#-0.082933#1', '51.473611#-0.080724#1'] 
['51.535002#-0.152104#0', '51.535876#-0.156420#0'] 
