['49.007629#2.059496#0', '49.035399#2.127643#1'] 
['48.957130#2.543896#0', '48.957675#2.550209#1'] 
['48.814748#2.421832#0', '48.799183#2.458758#1'] 
['48.800928#2.128777#0', '48.804037#2.123905#0'] 
['48.860123#2.234946#1', '48.857844#2.234852#1'] 
['48.802318#2.126441#1', '48.804037#2.123905#1'] 
['48.856343#2.232523#1', '48.857844#2.234852#1'] 
['48.872519#2.340194#0', '48.835235#2.326180#1'] 
['48.839940#2.360464#0', '48.840802#2.361819#0'] 
['48.814581#2.104939#1', '48.815391#2.109692#1'] 
['48.810771#2.120524#0', '48.804037#2.123905#0'] 
['48.846391#2.333789#1', '48.846921#2.337693#1'] 
['48.841332#2.372528#1', '48.840740#2.370283#1'] 
['48.919373#2.286955#0', '48.860281#2.326122#0'] 
['48.829576#2.290629#0', '48.830736#2.288215#0'] 
['48.839362#2.370827#1', '48.840740#2.370283#1'] 
['48.839362#2.370827#0', '48.840740#2.370283#0'] 
['48.808298#2.108609#0', '48.804037#2.123905#0'] 
['48.850145#2.280326#1', '48.859027#2.298116#1'] 
['48.808298#2.108609#1', '48.804037#2.123905#1'] 
['48.845415#2.336994#0', '48.846921#2.337693#0'] 
['48.776838#2.368017#1', '48.883900#2.332453#1'] 
['48.849790#2.358512#0', '48.849030#2.356561#0'] 
['48.854706#2.295037#1', '48.859027#2.298116#1'] 
['48.876052#2.317143#1', '48.874359#2.314864#1'] 
['48.845415#2.336994#1', '48.846921#2.337693#1'] 
['48.870148#2.245952#0', '48.872216#2.249410#1'] 
['48.872216#2.249410#1', '48.870148#2.245952#1'] 
['48.891947#2.353097#1', '48.890943#2.354587#1'] 
['48.918336#2.364323#1', '48.924266#2.360129#1'] 
['48.833793#2.330237#1', '48.833792#2.332442#1'] 
['48.882304#2.355833#0', '48.880652#2.355071#0'] 
['48.864548#2.290923#1', '48.863869#2.293522#1'] 
['48.863038#2.310685#0', '48.863477#2.313458#0'] 
['48.885233#2.352550#0', '48.883988#2.349798#0'] 
['48.861132#2.318231#1', '48.859027#2.298116#1'] 
['48.853040#2.301841#0', '48.859027#2.298116#0'] 
['48.887100#2.359654#1', '48.861759#2.335872#1'] 
['48.840448#2.336826#0', '48.846921#2.337693#0'] 
['48.846237#2.305542#1', '48.859027#2.298116#1'] 
['48.840448#2.336826#1', '48.846921#2.337693#1'] 
['48.805304#2.118228#0', '48.805341#2.120563#0'] 
['48.805304#2.118228#0', '48.804037#2.123905#0'] 
['48.842853#2.369621#0', '48.840740#2.370283#0'] 
['48.856714#2.350973#0', '48.859419#2.304031#1'] 
